State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,1507,39,10301,521658,5841,135751,32702,26,83,66.49,55.35,44.65,49.92,50.08
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,4494,81,72850,1428784,18996,354493,114194,293,119,68.62,54.82,45.18,49.63,50.37
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,5172,86,91139,1047411,16266,291400,208038,36,154,72.33,54.8,45.2,50.44,49.56
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,20660,174,53841,3326357,46638,835377,95487,246,412,65.64,56.23,43.77,51.16,48.84
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,5773,80,75481,1186078,20071,314270,74310,24,150,71.67,54.84,45.16,49.93,50.07
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,13495,795,133971,2075870,42853,555582,190814,148,231,74.44,52.72,47.28,49.15,50.85
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,4667,79,37574,1148990,10191,312310,56751,74,152,69.84,55.1,44.9,50.22,49.78
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,75634,951,233633,3325823,78827,909400,143093,530,1422,74.88,53.58,46.42,50.32,49.68
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,4416,151,33192,1132785,32084,303114,96092,64,258,74.86,53.15,46.85,49.57,50.43
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,6445,157,66987,2294369,19983,549077,91636,110,232,66.0,55.93,44.07,50.14,49.86
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,20623,438,111390,3397857,45832,865913,414760,251,676,70.47,54.23,45.77,49.84,50.16
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,10219,87,67405,1822626,23643,505950,47838,75,245,72.02,54.36,45.64,49.82,50.18
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,273,39120,22940,307120,2013,46875,8256,206,175,73.03,54.9,45.1,51.44,48.56
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,997,34717,44062,507967,4970,81601,105737,70,151,74.99,52.97,47.03,50.85,49.15
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,948,49420,39258,736015,5076,133744,49258,808,245,73.84,54.28,45.72,51.09,48.91
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,6394,2128,53622,1512801,15422,314567,152791,430,499,78.89,53.11,46.89,50.96,49.04
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,27183,4049,10076,3922718,26713,536402,411313,384,12057,60.66,60.23,39.77,53.52,46.48
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,13634,2582,7635,2904140,14169,268120,729283,91,5875,56.96,61.33,38.67,53.13,46.87
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,24122,4391,13782,5102041,25302,391542,796756,305,4377,61.56,60.0,40.0,52.6,47.4
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,2509,1817,2536,1985654,5974,99581,401678,33,869,62.01,56.94,43.06,50.56,49.44
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,2404,332,1004,1273546,4232,65479,101963,444,371,67.47,58.68,41.32,53.64,46.36
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,6652,5652,3810,3878626,12525,183381,718692,226,719,60.08,56.26,43.74,49.52,50.48
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,2989,161,1840,917474,5073,119121,364583,25,483,61.24,61.39,38.61,53.73,46.27
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2681,2793,6400,2291892,7146,85814,1169330,38,8212,40.09,62.81,37.19,52.87,47.13
